	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12
d1_0	0	0.084389	0.0527457	0.0375467	0.0291567	0.0222009	0.0174937	0.0133759	0.010413	0.00792855	0.006187	0.00473932	0.00189915
d1_1	0.0600779	0.0166952	0.0141529	0.0131467	0.0119723	0.0107011	0.00967238	0.0085787	0.00801024	0.00673004	0.00608751	0.00250947	0
d1_2	0.0368648	0.0129836	0.0109624	0.00979737	0.00932802	0.00872409	0.00810762	0.00762122	0.00671789	0.00619483	0.00311115	0	0
d1_3	0.0274422	0.0117292	0.00950045	0.00891357	0.0082551	0.00795168	0.00714032	0.00711084	0.00700927	0.00320347	0	0	0
d1_4	0.0211945	0.0101843	0.00843074	0.00836686	0.0076624	0.00729221	0.00697712	0.00711077	0.00345332	0	0	0	0
d1_5	0.017181	0.00917721	0.0081334	0.00782658	0.00700548	0.00687008	0.00683071	0.00347918	0	0	0	0	0
d1_6	0.013743	0.00863985	0.00749212	0.00723526	0.0073695	0.00675643	0.0037519	0	0	0	0	0	0
d1_7	0.0112169	0.0074297	0.00705851	0.00718034	0.00668581	0.00347918	0	0	0	0	0	0	0
d1_8	0.00903585	0.00678675	0.00665774	0.00657593	0.00345332	0	0	0	0	0	0	0	0
d1_9	0.00756903	0.00616716	0.00639036	0.00320347	0	0	0	0	0	0	0	0	0
d1_10	0.00581146	0.00572422	0.00311115	0	0	0	0	0	0	0	0	0	0
d1_11	0.00481119	0.00250947	0	0	0	0	0	0	0	0	0	0	0
d1_12	0.00189915	0	0	0	0	0	0	0	0	0	0	0	0
