"","pnfn_psfs","category","col"
"Calpan_Calpan",0.175671354056927,"cold","#6e79a2"
"Churintzio_Churintzio",0.160208328811023,"warm","#b66859"
"Cocotitlan_Cocotitlan",0.143231598666065,"cold","#6e79a2"
"ElPorvenir",0.163351453645948,"warm","#b66859"
"Ixtlan",0.175840014686552,"warm","#b66859"
"Opopeo",0.178807843097035,"cold","#6e79a2"
"puruandiro",0.147280441030288,"warm","#b66859"
"SanNicolas_SnNicolasBuenosAires",0.153103771643829,"cold","#6e79a2"
"SanPedro",0.199412190114105,"cold","#6e79a2"
"SantaClara",0.228126456054432,"cold","#6e79a2"
"SMH571_Acambaro",0.177176758483683,"warm","#b66859"
"SMH572_Acambaro",0.143130339007867,"warm","#b66859"
"SMH573_Acambaro",0.142258135842303,"warm","#b66859"
"SMH575_SantaAnaMaya",0.140417300134381,"warm","#b66859"
"SMH576_Yuriria",0.159408645721783,"warm","#b66859"
"SMHMGCH579_Puruandiro",0.151029372942776,"warm","#b66859"
"SMHMGCH580_Huandacareo",0.148861171392523,"warm","#b66859"
"SMHMGCH582_JesusMaria",0.218981448957537,"warm","#b66859"
"Tenancingo_Tenancingo",0.174091056436924,"cold","#6e79a2"
"TenangodelAire",0.173089948032293,"cold","#6e79a2"
"Texcoco_Texcoco",0.165997407257923,"cold","#6e79a2"
"VillaSeca_Otzolotepec",0.154802559951844,"cold","#6e79a2"
"Xochimilco",0.284100191136193,"cold","#6e79a2"
