"","year_50_min","year_50_median","year_50_num_sites","year_50_bio_9","year_70_min","year_70_median","year_70_num_sites","year_70_bio_9"
"TenangodelAire",2.30081732270579,94.2959543486743,40,110,32.9950848444138,102.599716197629,0,110
"VillaSeca_Otzolotepec",2.35587381710396,93.2278922236941,59,114,13.6896633357501,99.4449558439714,6,114
"Calpan_Calpan",2.40771393972784,110.769299503634,10,117,8.21105571243897,74.3193643874912,7,117
"SanPedro",1.93873877176114,110.562847999536,10,117,7.78872883573585,73.9251536241485,7,117
"Tenancingo_Tenancingo",3.44401031253259,96.7518666603276,25,121,7.79045086256691,67.0074545111974,8,121
"Texcoco_Texcoco",12.9133978172252,82.5444033014379,6,123,16.7241039104697,60.0007097365767,3,123
"Cocotitlan_Cocotitlan",7.08638891585082,93.4209128135056,24,129,11.643460066745,74.2666817831944,9,129
"SanNicolas_SnNicolasBuenosAires",5.1923077779962,117.829576508956,10,129,11.5123782028243,68.5104451645881,3,129
"Xochimilco",9.65634987868185,88.8338599155342,8,130,16.0152056085302,54.8187142810295,5,130
"Opopeo",5.35136425868664,98.1194507331994,12,153,88.7729439878667,110.07714593059,0,153
"SantaClara",8.36636881259755,101.229113073267,9,153,91.746797312738,112.975378605032,0,153
"ElPorvenir",196.571352979116,216.196202752664,0,158,NA,NA,NA,158
"SMHMGCH582_JesusMaria",93.4165570281472,130.45495357913,0,160,130.166528458184,130.166528458184,0,160
"SMH571_Acambaro",1.80109082148697,123.406900960036,59,172,3.42017364558403,159.452002099559,7,172
"SMH572_Acambaro",2.3388794520504,126.114436694506,52,177,8.45158864986218,161.286434677904,9,177
"SMH573_Acambaro",2.05457747232636,121.96247824456,62,181,4.81929216549536,152.524261851493,3,181
"Churintzio_Churintzio",0.94618492683673,122.709089782855,30,182,9.29575606741926,120.651553797772,3,182
"SMHMGCH580_Huandacareo",1.7390796736211,127.36340275267,49,185,10.1889039499241,145.139443132644,18,185
"SMH575_SantaAnaMaya",1.97031727393237,128.324066109033,62,186,15.7888913414786,153.037968555525,3,186
"SMHMGCH579_Puruandiro",1.37640164553174,119.558620986695,47,187,7.90161205316281,135.027196579438,17,187
"puruandiro",1.30403849798221,121.087127264848,46,190,7.60280612979716,133.708707226143,18,190
"SMH576_Yuriria",2.57448459208271,120.636624817284,52,194,8.90657583113089,139.409976661716,11,194
"Ixtlan",9.44780270385985,143.451028353968,5,194,28.1586464923028,104.654458972825,0,194
