Taxa,Longitud,Latitud
Zea mays subsp. mexicana raza Mesa Central,-104.5666667,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-102.05,20.06666667
Zea mays subsp. mexicana raza Mesa Central,-102.0666667,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.9333333,20.1
Zea mays subsp. mexicana raza Mesa Central,-101.4833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-102.0333333,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.4833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-101.4666667,20.03333333
Zea mays subsp. mexicana raza Mesa Central,-101.2333333,20.05
Zea mays subsp. mexicana raza Mesa Central,-101.1833333,20.06666667
Zea mays subsp. mexicana raza Mesa Central,-101.15,20.16666667
Zea mays subsp. mexicana raza Mesa Central,-101.15,20
Zea mays subsp. mexicana raza Mesa Central,-101.2833333,19.98333333
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,19.88333333
Zea mays subsp. mexicana raza Mesa Central,-101.3833333,19.86666667
Zea mays subsp. mexicana raza Mesa Central,-102.1,20.15
Zea mays subsp. parviglumis raza Balsas,-100.4333333,19.26666667
Zea mays subsp. parviglumis raza Balsas,-100.4833333,19.21666667
Zea mays subsp. parviglumis raza Balsas,-100.8333333,18.85
Zea mays subsp. parviglumis raza Balsas,-100.85,18.85
Zea mays subsp. mexicana raza Chalco,-98.91666667,19.56666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-102.35,20.41666667
Zea mays subsp. parviglumis raza Balsas,-104.5833333,20.8
Zea mays subsp. parviglumis raza Balsas,-104.55,20.8
Zea mays subsp. parviglumis raza Balsas,-104.55,20.83333333
Zea mays subsp. mexicana raza Mesa Central,-102.0333333,20.18333333
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.15
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.08333333
Zea mays subsp. mexicana raza Mesa Central,-101.45,20.11666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.96666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.96666667
Zea mays subsp. mexicana raza Mesa Central,-101.3166667,19.9
Zea mays subsp. mexicana raza Mesa Central,-101.15,20.01666667
Zea mays subsp. mexicana raza Mesa Central,-101.8333333,20.75
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.95
Zea mays subsp. parviglumis raza Balsas,-104.8166667,19.7
Zea mays subsp. mexicana raza Mesa Central,-102.8833333,20.1
Zea mays subsp. mexicana raza Nobogame,-106.9666667,26.21666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.5666667,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.08333333
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.25
Zea mays subsp. mexicana raza Chalco,-98.85,19.25
